,lat,lon,name
0,39.7534172798,-104.999892472,Snooze An AM Eatery
1,39.7516356022,-105.000837743,Tattered Cover Book Store
2,39.7505164958,-104.999718748,Little Owl Coffee
3,39.748144,-104.999215,The Market At Larimer Square
4,39.7718242,-105.0441468,Downpours Coffee
5,39.756923,-105.008966,House of Commons
6,39.735495,-104.9989171,The Molecule Effect
7,39.75862,-104.98661,Stowaway Kitchen
8,39.7718265659,-105.043884164,Block & Larder
9,39.7995379,-105.0796076,The Bluegrass Coffee & Bourbon Lounge
10,39.7621748596,-105.034885928,Novo Coffee
11,39.7503656,-104.997457,The Delectable Egg-Denver
12,39.73695,-104.97937,Hudson Hill
13,39.77236,-105.04368,Allegro Coffee Roasters
14,39.697997,-104.961609,Devil's Food Bakery & Cookery
15,39.7334,-104.975,Wokano Asian Bistro
16,39.7424757155,-105.074408479,Sweet Bloom Coffee Roasters
17,39.6849,-104.98726,Corvus Coffee Roasters
18,39.7544751,-104.9775155,Coffee at The Point
19,39.7202518591,-104.954486389,Aviano Coffee
20,39.7527809,-104.9984818,City Stacks Books and Coffee
21,39.7254288,-104.982858,Little India
22,39.743816695,-104.990080352,Cook's Fresh Market
23,39.7544517517,-105.109886169,Lube and Latte
24,39.7548213732,-105.005082708,ink! Coffee Company
25,39.799874,-105.078552,Breadwinners Cafe and Catering
26,39.725417,-104.966824,Novo Coffee
27,39.71761,-104.94761,Olive & Finch Eatery And Bakery
28,39.82885,-104.97883,Boyer's Coffee Company
29,39.7403812778,-104.971633069,Triple Tree Cafe
30,39.6856099,-104.98077,Little Spoons
31,39.7398,-104.96905,Blush & Blu
32,39.6702851949,-105.114235793,Green Mountain Beer Company
33,39.72069,-104.95547,Vitality Bowls
34,39.7451921078,-104.992467798,Starbucks
35,39.654124,-104.98802,The BoB - The Brew on Broadway
36,39.7164424,-104.9877488,Metropolis Coffee
37,39.7353172302,-104.954795837,Downpours Coffee
38,39.7276803041,-104.940014847,Stargazer Fine Chocolates
39,39.7403949661,-105.04181,Starbucks
40,39.7720492241,-104.982449657,Black Black Coffee
41,39.7037956884,-104.980374278,Overt
42,39.7207572,-104.9598784,Enstrom Candies
43,39.7764146027,-105.024705122,Starbucks
44,39.73982,-105.10905,Starbucks
45,39.86482,-105.07974,The Dessert Stand
46,39.6654551674,-104.987721565,Kaladi Coffee Roasters
47,39.7484060067,-104.997071479,Starbucks
48,39.7477084,-104.9991261,Wednesday's Pie
49,39.72541,-104.95551,Curtis Park Delicatessen - Cherry Creek
15,39.5933894813,-104.961588532,Snooze An AM Eatery
29,39.6135136,-105.017997,The Chocolate Therapist
42,39.61347,-105.01781,Born2Bake
45,39.6787,-104.96843,Starbucks
47,39.71135,-104.97295,Starbucks
49,39.70348,-104.9597,INK! Coffee
0,39.7393989563,-104.82762146,Caribou Coffee
1,39.77838,-104.84761,Starbucks
2,39.7405169088,-104.810801339,Starbucks
3,39.7422628105,-104.837541729,Dazbog Coffee
4,39.7640699,-104.77478,Starbucks
5,39.7733321223,-104.810796082,Starbucks
6,39.7417874859,-104.834944938,Dazbog Coffee
7,39.7723946507,-104.799463749,7-Eleven
8,39.8441352188,-104.772847449,7-Eleven
