,lat,lon,name,year,tract
13,39.77236,-105.04368,Allegro Coffee Roasters,2015,8031000301
18,39.72025186,-104.9544864,Aviano Coffee,2007,8031003800
8,39.77182657,-105.0438842,Block & Larder,2014,8031000301
20,39.7527809,-104.9984818,City Stacks Books and Coffee,2014,8031001701
19,39.7544751,-104.9775155,Coffee at The Point,2010,8031002402
15,39.6849,-104.98726,Corvus Coffee Roasters,2012,8031003001
49,39.72541,-104.95551,Curtis Park Delicatessen - Cherry Creek,2018,8031003300
14,39.697997,-104.961609,Devil's Food Bakery & Cookery,2006,8031003402
4,39.7718242,-105.0441468,Downpours Coffee,2013,8031000301
36,39.73531723,-104.9547958,Downpours Coffee,2016,8031003702
43,39.7207572,-104.9598784,Enstrom Candies,2008,8031003203
5,39.75692,-105.00918,House of Commons,2007,8031001102
12,39.73695,-104.97937,Hudson Hill,2016,8031002703
48,39.70348,-104.9597,INK! Coffee,2015,8031003402
24,39.75482137,-105.0050827,ink! Coffee Company,2008,8031001701
2,39.7505165,-104.9997187,Little Owl Coffee,2013,8031001701
30,39.6856099,-104.98077,Little Spoons,2016,8031003001
37,39.7164424,-104.9877488,Metropolis Coffee,2014,8031002802
9,39.76217486,-105.0348859,Novo Coffee,2013,8031000303
26,39.725417,-104.966824,Novo Coffee,2013,8031003203
27,39.71761,-104.94761,Olive & Finch Eatery And Bakery,2017,8031003800
41,39.70379569,-104.9803743,Overt,2015,8031002902
34,39.74519211,-104.9924678,Starbucks,2008,8031001702
39,39.74039497,-105.04181,Starbucks,2017,8031000701
42,39.7764146,-105.0247051,Starbucks,2010,8031000401
46,39.74840601,-104.9970715,Starbucks,2010,8031001701
44,39.6787,-104.96843,Starbucks,2008,8031003003
46,39.71135,-104.97295,Starbucks,2010,8031003401
38,39.7276803,-104.9400148,Stargazer Fine Chocolates,2017,8031004301
7,39.75862,-104.98661,Stowaway Kitchen,2015,8031001600
11,39.7503656,-104.997457,The Delectable Egg-Denver,2006,8031001701
3,39.74788807,-104.999228,The Market At Larimer Square,2006,8031001701
6,39.735495,-104.9989171,The Molecule Effect,2014,8031001800
29,39.74038128,-104.9716331,Triple Tree Cafe,2017,8031003102
33,39.72069,-104.95547,Vitality Bowls,2016,8031003800
47,39.7477084,-104.9991261,Wednesday's Pie,2011,8031001701
