,Unnamed: 0,lat,lon,name,year,tract
1,18,39.72025186,-104.9544864,Aviano Coffee,2007,8031003800
2,8,39.77182657,-105.0438842,Block & Larder,2014,8031000301
3,20,39.7527809,-104.9984818,City Stacks Books and Coffee,2014,8031001701
4,19,39.7544751,-104.9775155,Coffee at The Point,2010,8031002402
5,15,39.6849,-104.98726,Corvus Coffee Roasters,2012,8031003001
7,14,39.697997,-104.961609,Devil's Food Bakery & Cookery,2006,8031003402
8,4,39.7718242,-105.0441468,Downpours Coffee,2013,8031000301
10,43,39.7207572,-104.9598784,Enstrom Candies,2008,8031003203
11,5,39.75692,-105.00918,House of Commons,2007,8031001102
14,24,39.75482137,-105.0050827,ink! Coffee Company,2008,8031001701
15,2,39.7505165,-104.9997187,Little Owl Coffee,2013,8031001701
17,37,39.7164424,-104.9877488,Metropolis Coffee,2014,8031002802
18,9,39.76217486,-105.0348859,Novo Coffee,2013,8031000303
19,26,39.725417,-104.966824,Novo Coffee,2013,8031003203
22,34,39.74519211,-104.9924678,Starbucks,2008,8031001702
24,42,39.7764146,-105.0247051,Starbucks,2010,8031000401
25,46,39.74840601,-104.9970715,Starbucks,2010,8031001701
26,44,39.6787,-104.96843,Starbucks,2008,8031003003
27,46,39.71135,-104.97295,Starbucks,2010,8031003401
30,11,39.7503656,-104.997457,The Delectable Egg-Denver,2006,8031001701
31,3,39.74788807,-104.999228,The Market At Larimer Square,2006,8031001701
32,6,39.735495,-104.9989171,The Molecule Effect,2014,8031001800
35,47,39.7477084,-104.9991261,Wednesday's Pie,2011,8031001701
