,Unnamed: 0,lat,lon,name,year,tract
4,41,39.72546,-104.95152,Barolo Grill,2007,8031003800
5,20,39.74339,-104.97814,Beast + Bottle,2013,8031002602
6,28,39.715853,-104.987114,Beatrice & Woodsley,2008,8031002802
7,46,39.71094,-104.98121,Bittersweet Artisanal Cuisine,2011,8031002901
8,30,39.73238,-105.00494,Buckhorn Exchange Restaurant,2005,8031001901
10,21,39.75056178,-104.9995348,ChoLon,2010,8031001701
11,15,39.75498956,-104.9972914,ChopHouse & Brewery Denver,2006,8031001701
12,17,39.75741947,-105.0083415,Colt & Gray,2009,8031001102
14,25,39.74647462,-104.998031,EDGE Restaurant and Bar,2010,8031001702
16,49,39.717109,-104.957412,Elway's,2006,8031001702
17,34,39.750006,-104.991956,ELWAY'S Downtown,2008,8031003800
18,33,39.75117879,-105.0021204,Fogo de Chão Brazilian Steakhouse,2009,8031001701
19,7,39.725696,-104.97133,Fruition Restaurant,2007,8031003203
20,1,39.74768119,-104.9896545,Guard and Grace,2014,8031001702
24,22,39.6895855,-104.9807808,Izakaya Den,2013,8031003001
26,36,39.764444,-105.0052843,Kobe An LoHi,2014,8031001102
31,29,39.72741,-104.98411,Mizuna,2007,8031002702
32,2,39.77791,-104.86488,Northfield's Grill,2012,8031980100
33,19,39.74827,-104.99887,Ocean Prime,2011,8031001701
34,2,39.7635999,-105.0110912,Old Major,2013,8031001102
36,4,39.747833,-104.992822,Panzano,2006,8031001702
37,0,39.74780831,-104.9993314,Rioja,2006,8031001701
38,44,39.74453213,-104.9933984,Ruth's Chris Steak House,2014,8031001702
39,37,39.7623337,-105.0388029,Solitaire,2014,8031000303
41,11,39.75292466,-105.000501,Stoic & Genuine,2014,8031001701
42,46,39.68962,-104.980763,Sushi Den,2006,8031003001
44,35,39.75674329,-105.0094366,Sushi Sasa,2006,8031001102
45,16,39.74814,-104.99935,TAG Restaurant,2009,8031001701
47,0,39.78396328,-104.890781,Texas de Brazil,2007,8031004107
48,13,39.747876,-104.99867,The Capital Grille,2006,8031001701
49,6,39.75083,-105.00003,The Kitchen,2012,8031001701
50,48,39.74597524,-104.997753,The Oceanaire Seafood Room,2007,8031001702
53,40,39.7527782,-104.999532,Venice Ristorante,2007,8031001701
54,18,39.75256729,-104.9960251,Vesta,2006,8031001701
