,lat,lon,name
0,39.7478083125,-104.99933135,Rioja
1,39.7635999,-105.0110912,Old Major
2,39.7476811909,-104.989654496,Guard and Grace
3,39.77228,-105.04432,The Way Back
4,39.747833,-104.992822,Panzano
5,39.75083,-105.00003,The Kitchen
6,39.75168,-104.9989499,Avelina
7,39.725696,-104.97133,Fruition Restaurant
8,39.7652057,-104.9857011,Mister Tuna
9,39.7529246612,-105.000501017,Stoic & Genuine
10,39.747876,-104.99867,The Capital Grille
11,39.7525672913,-104.996025085,Vesta
12,39.74814,-104.99935,TAG Restaurant
13,39.7574194708,-105.008341486,Colt & Gray
14,39.7550715472,-104.99722302,ChopHouse & Brewery Denver
15,39.74339,-104.97814,Beast + Bottle
16,39.75899,-104.9853,Il Posto
17,39.75058,-104.999721,ChoLon
18,39.74827,-104.99887,Ocean Prime
19,39.7551460685,-104.999769288,Hearth & Dram
20,39.7531019674,-105.002390496,Tavernetta
21,39.746474615,-104.998030983,EDGE Restaurant and Bar
22,39.72741,-104.98411,Mizuna
23,39.715853,-104.987114,Beatrice & Woodsley
24,39.74935,-104.99849,STK Denver
25,39.73238,-105.00494,Buckhorn Exchange Restaurant
26,39.7534574,-105.0025278,Wewatta Point
27,39.764444,-105.0052843,Kobe An LoHi
28,39.76151,-105.01045,Bamboo Sushi
29,39.75908,-105.01145,El Five
30,39.7511787925,-105.002120441,Fogo de Chão Brazilian Steakhouse
31,39.750006,-104.991956,ELWAY'S Downtown
32,39.7567432888,-105.009436573,Sushi Sasa
33,39.7623337,-105.0388029,Solitaire
34,39.83972,-105.0871,"The Butchery- Steaks, Chops & Seafood"
35,39.7587194618,-105.011621453,Sushi Ronin
36,39.71794,-104.95213,801 Chophouse
37,39.72546,-104.95152,Barolo Grill
38,39.7201771141,-104.957108626,Departure
39,39.7112399,-104.9732499,Café Marmotte
40,39.7445321277,-104.993398432,Ruth's Chris Steak House
41,39.7527782,-104.999532,Venice Ristorante
42,39.74049,-104.9462,Bastien's
43,39.7459752411,-104.997752977,The Oceanaire Seafood Room
44,39.717639,-104.949611,Matsuhisa Denver
45,39.68962,-104.980763,Sushi Den
46,39.717109,-104.957412,Elway's
47,39.750721,-105.003334,Coohills Restaurant
48,39.6895855,-104.9807808,Izakaya Den
49,39.7441132,-104.9878576,Palace Arms
33,39.6527,-104.99386,Steakhouse 10
36,39.60924,-104.95807,The Wooden Table
37,39.7065014,-105.0255553,Mariscos El Licenciado
38,39.71094,-104.98121,Bittersweet Artisanal Cuisine
39,39.68975,-104.98014,Palizo Italiano
42,39.6553466,-105.0530851,La Keka Mexican Food
44,39.72754,-104.98378,Luca
47,39.705424359,-104.939948105,Jax Fish House Glendale
0,39.7839632842,-104.890781012,Texas de Brazil
1,39.75223,-104.87738,Annette
2,39.77791,-104.86488,Northfield's Grill
3,39.6852860841,-104.808297199,Fat Shack
4,39.7840187699,-104.865709618,Wystone's Northfield
5,39.7402649669,-104.858946177,Popeyes Louisiana Kitchen
6,39.72224,-104.86657,Maya Sports Bar And Grill
