,lat,lon,name,year,tract
38,39.71794,-104.95213,801 Chophouse,2016,8031003800
5,39.75168,-104.9989499,Avelina,2016,8031001701
22,39.76151,-105.01045,Bamboo Sushi,2017,8031001102
43,39.7665532,-104.9748451,bar helix,2017,8031001600
41,39.72546,-104.95152,Barolo Grill,2007,8031003800
20,39.74339,-104.97814,Beast + Bottle,2013,8031002602
28,39.715853,-104.987114,Beatrice & Woodsley,2008,8031002802
46,39.71094,-104.98121,Bittersweet Artisanal Cuisine,2011,8031002901
30,39.73238,-105.00494,Buckhorn Exchange Restaurant,2005,8031001901
45,39.7112399,-104.9732499,Cafe Marmotte,2015,8031003401
21,39.75056178,-104.9995348,ChoLon,2010,8031001701
15,39.75498956,-104.9972914,ChopHouse & Brewery Denver,2006,8031001701
17,39.75741947,-105.0083415,Colt & Gray,2009,8031001102
42,39.72017711,-104.9571086,Departure,2016,8031003800
25,39.74647462,-104.998031,EDGE Restaurant and Bar,2010,8031001702
24,39.75908,-105.01145,El Five,2017,8031000402
49,39.717109,-104.957412,Elway's,2006,8031001702
34,39.750006,-104.991956,ELWAY'S Downtown,2008,8031003800
33,39.75117879,-105.0021204,Fogo de Chão Brazilian Steakhouse,2009,8031001701
7,39.725696,-104.97133,Fruition Restaurant,2007,8031003203
1,39.74768119,-104.9896545,Guard and Grace,2014,8031001702
14,39.75514607,-104.9997693,Hearth & Dram,2017,8031001701
31,39.7180899,-104.94964,Hedge Row American Bistro,2017,8031003800
12,39.75899,-104.9853,Il Posto,2017,8031001600
22,39.6895855,-104.9807808,Izakaya Den,2013,8031003001
23,39.76581,-104.98557,Izakaya Ronin,2017,8031001600
36,39.764444,-105.0052843,Kobe An LoHi,2014,8031001102
45,39.6553466,-105.0530851,La Keka Mexican Food,2016,8031004801
44,39.7065014,-105.0255553,Mariscos El Licenciado,2015,8031004505
47,39.717639,-104.949611,Matsuhisa Denver,2016,8031003800
8,39.7652057,-104.9857011,Mister Tuna,2016,8031001600
29,39.72741,-104.98411,Mizuna,2007,8031002702
2,39.77791,-104.86488,Northfield's Grill,2012,8031980100
19,39.74827,-104.99887,Ocean Prime,2011,8031001701
2,39.7635999,-105.0110912,Old Major,2013,8031001102
32,39.68975,-104.98014,Palizo Italiano,2017,8031003001
4,39.747833,-104.992822,Panzano,2006,8031001702
0,39.74780831,-104.9993314,Rioja,2006,8031001701
44,39.74453213,-104.9933984,Ruth's Chris Steak House,2014,8031001702
37,39.7623337,-105.0388029,Solitaire,2014,8031000303
32,39.74935,-104.99849,STK Denver,2017,8031001701
11,39.75292466,-105.000501,Stoic & Genuine,2014,8031001701
46,39.68962,-104.980763,Sushi Den,2006,8031003001
39,39.75871946,-105.0116215,Sushi Ronin,2016,8031000402
35,39.75674329,-105.0094366,Sushi Sasa,2006,8031001102
16,39.74814,-104.99935,TAG Restaurant,2009,8031001701
10,39.75310197,-105.0023905,Tavernetta,2017,8031001701
0,39.78396328,-104.890781,Texas de Brazil,2007,8031004107
13,39.747876,-104.99867,The Capital Grille,2006,8031001701
6,39.75083,-105.00003,The Kitchen,2012,8031001701
48,39.74597524,-104.997753,The Oceanaire Seafood Room,2007,8031001702
3,39.77228,-105.04432,The Way Back,2016,8031000301
9,39.75208,-104.99929,Urban Farmer Denver,2017,8031001701
40,39.7527782,-104.999532,Venice Ristorante,2007,8031001701
18,39.75256729,-104.9960251,Vesta,2006,8031001701
27,39.7534574,-105.0025278,Wewatta Point,2017,8031001701
4,39.78401877,-104.8657096,Wystone's Northfield,2016,8031980100
