GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-person household,Margin of Error; Family households: - 5-person household,Estimate; Family households: - 6-person household,Margin of Error; Family households: - 6-person household,Estimate; Family households: - 7-or-more person household,Margin of Error; Family households: - 7-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-person household,Margin of Error; Nonfamily households: - 5-person household,Estimate; Nonfamily households: - 6-person household,Margin of Error; Nonfamily households: - 6-person household,Estimate; Nonfamily households: - 7-or-more person household,Margin of Error; Nonfamily households: - 7-or-more person household
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",1467,106,730,105,451,93,210,71,40,34,29,27,0,92,0,92,737,116,479,114,249,79,0,92,9,14,0,92,0,92,0,92
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",1474,74,921,105,410,128,240,110,104,69,75,62,47,54,45,54,553,103,434,97,119,66,0,92,0,92,0,92,0,92,0,92
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",1520,96,835,135,304,84,252,94,90,53,89,65,81,65,19,22,685,154,492,131,176,82,17,20,0,92,0,92,0,92,0,92
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",2357,125,1115,147,580,149,256,118,224,89,11,18,11,19,33,46,1242,183,1032,161,210,94,0,92,0,92,0,92,0,92,0,92
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",1801,119,965,102,454,108,297,100,147,63,67,39,0,92,0,92,836,140,634,120,202,85,0,92,0,92,0,92,0,92,0,92
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",2237,128,1058,128,634,124,258,102,133,65,33,29,0,92,0,92,1179,162,913,156,203,94,63,90,0,92,0,92,0,92,0,92
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",1468,65,760,132,341,99,249,99,61,39,38,35,59,61,12,18,708,133,425,125,219,88,64,69,0,92,0,92,0,92,0,92
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",2502,205,943,202,474,133,203,113,168,145,51,47,47,75,0,92,1559,265,1144,249,312,126,54,55,49,54,0,92,0,92,0,92
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",965,52,435,72,254,66,92,49,49,35,13,21,27,34,0,92,530,94,359,93,143,70,28,27,0,92,0,92,0,92,0,92
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",2584,159,1201,234,721,179,257,119,211,107,12,21,0,92,0,92,1383,204,1106,190,257,122,20,32,0,92,0,92,0,92,0,92
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",1050,115,470,101,181,89,153,76,90,63,12,19,34,34,0,92,580,103,436,104,132,72,12,18,0,92,0,92,0,92,0,92
