GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",876,86
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",975,258
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",782,138
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",699,49
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",925,168
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",868,131
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",834,150
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",902,135
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",1020,169
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",600,97
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",700,110
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",696,55
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",730,33
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",196,54
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",1114,92
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",862,89
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",710,74
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",926,164
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",514,235
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",766,155
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",1059,130
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",1012,238
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",1132,82
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",739,125
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",706,127
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",920,280
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",763,65
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",1165,74
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",1458,178
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",894,185
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",890,178
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",300,129
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",1660,484
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",958,311
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",703,76
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",729,150
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",538,112
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",474,233
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",716,58
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",1040,89
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",680,22
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",776,54
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",687,24
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",886,58
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",717,31
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",792,79
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",819,105
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",991,232
1400000US08031003001,08031003001,"Census Tract 30.01, Denver County, Colorado",882,67
1400000US08031003002,08031003002,"Census Tract 30.02, Denver County, Colorado",936,65
1400000US08031003003,08031003003,"Census Tract 30.03, Denver County, Colorado",997,167
1400000US08031003004,08031003004,"Census Tract 30.04, Denver County, Colorado",943,42
1400000US08031003101,08031003101,"Census Tract 31.01, Denver County, Colorado",739,131
1400000US08031003102,08031003102,"Census Tract 31.02, Denver County, Colorado",535,60
1400000US08031003201,08031003201,"Census Tract 32.01, Denver County, Colorado",754,63
1400000US08031003202,08031003202,"Census Tract 32.02, Denver County, Colorado",751,122
1400000US08031003203,08031003203,"Census Tract 32.03, Denver County, Colorado",1082,196
1400000US08031003300,08031003300,"Census Tract 33, Denver County, Colorado",1355,114
1400000US08031003401,08031003401,"Census Tract 34.01, Denver County, Colorado",1275,319
1400000US08031003402,08031003402,"Census Tract 34.02, Denver County, Colorado",1502,196
1400000US08031003500,08031003500,"Census Tract 35, Denver County, Colorado",871,83
1400000US08031003601,08031003601,"Census Tract 36.01, Denver County, Colorado",725,130
1400000US08031003602,08031003602,"Census Tract 36.02, Denver County, Colorado",787,96
1400000US08031003603,08031003603,"Census Tract 36.03, Denver County, Colorado",902,188
1400000US08031003701,08031003701,"Census Tract 37.01, Denver County, Colorado",743,111
1400000US08031003702,08031003702,"Census Tract 37.02, Denver County, Colorado",739,52
1400000US08031003703,08031003703,"Census Tract 37.03, Denver County, Colorado",730,30
1400000US08031003800,08031003800,"Census Tract 38, Denver County, Colorado",1096,75
1400000US08031003901,08031003901,"Census Tract 39.01, Denver County, Colorado",1740,154
1400000US08031003902,08031003902,"Census Tract 39.02, Denver County, Colorado",1564,159
1400000US08031004002,08031004002,"Census Tract 40.02, Denver County, Colorado",1223,239
1400000US08031004003,08031004003,"Census Tract 40.03, Denver County, Colorado",1211,76
1400000US08031004004,08031004004,"Census Tract 40.04, Denver County, Colorado",1375,456
1400000US08031004005,08031004005,"Census Tract 40.05, Denver County, Colorado",838,61
1400000US08031004006,08031004006,"Census Tract 40.06, Denver County, Colorado",886,62
1400000US08031004101,08031004101,"Census Tract 41.01, Denver County, Colorado",843,49
1400000US08031004102,08031004102,"Census Tract 41.02, Denver County, Colorado",936,58
1400000US08031004103,08031004103,"Census Tract 41.03, Denver County, Colorado",1161,246
1400000US08031004104,08031004104,"Census Tract 41.04, Denver County, Colorado",1113,131
1400000US08031004106,08031004106,"Census Tract 41.06, Denver County, Colorado",1762,148
1400000US08031004107,08031004107,"Census Tract 41.07, Denver County, Colorado",1177,105
1400000US08031004201,08031004201,"Census Tract 42.01, Denver County, Colorado",851,217
1400000US08031004202,08031004202,"Census Tract 42.02, Denver County, Colorado",1387,536
1400000US08031004301,08031004301,"Census Tract 43.01, Denver County, Colorado",677,30
1400000US08031004302,08031004302,"Census Tract 43.02, Denver County, Colorado",1225,172
1400000US08031004303,08031004303,"Census Tract 43.03, Denver County, Colorado","2,000+",***
1400000US08031004304,08031004304,"Census Tract 43.04, Denver County, Colorado",1117,230
1400000US08031004306,08031004306,"Census Tract 43.06, Denver County, Colorado",1131,94
1400000US08031004403,08031004403,"Census Tract 44.03, Denver County, Colorado",860,64
1400000US08031004404,08031004404,"Census Tract 44.04, Denver County, Colorado",755,51
1400000US08031004405,08031004405,"Census Tract 44.05, Denver County, Colorado",1041,73
1400000US08031004503,08031004503,"Census Tract 45.03, Denver County, Colorado",793,67
1400000US08031004504,08031004504,"Census Tract 45.04, Denver County, Colorado",792,125
1400000US08031004505,08031004505,"Census Tract 45.05, Denver County, Colorado",975,101
1400000US08031004506,08031004506,"Census Tract 45.06, Denver County, Colorado",719,142
1400000US08031004601,08031004601,"Census Tract 46.01, Denver County, Colorado",945,302
1400000US08031004602,08031004602,"Census Tract 46.02, Denver County, Colorado",786,210
1400000US08031004603,08031004603,"Census Tract 46.03, Denver County, Colorado",1098,147
1400000US08031004700,08031004700,"Census Tract 47, Denver County, Colorado",779,30
1400000US08031004801,08031004801,"Census Tract 48.01, Denver County, Colorado",1460,146
1400000US08031005001,08031005001,"Census Tract 50.01, Denver County, Colorado",1097,85
1400000US08031005002,08031005002,"Census Tract 50.02, Denver County, Colorado",810,42
1400000US08031005102,08031005102,"Census Tract 51.02, Denver County, Colorado",718,37
1400000US08031005104,08031005104,"Census Tract 51.04, Denver County, Colorado",695,73
1400000US08031005200,08031005200,"Census Tract 52, Denver County, Colorado",1284,412
1400000US08031005300,08031005300,"Census Tract 53, Denver County, Colorado",850,63
1400000US08031005502,08031005502,"Census Tract 55.02, Denver County, Colorado",1113,63
1400000US08031005503,08031005503,"Census Tract 55.03, Denver County, Colorado",771,540
1400000US08031006701,08031006701,"Census Tract 67.01, Denver County, Colorado",1152,41
1400000US08031006804,08031006804,"Census Tract 68.04, Denver County, Colorado",1182,66
1400000US08031006809,08031006809,"Census Tract 68.09, Denver County, Colorado",874,36
1400000US08031006810,08031006810,"Census Tract 68.10, Denver County, Colorado",877,57
1400000US08031006811,08031006811,"Census Tract 68.11, Denver County, Colorado",697,34
1400000US08031006812,08031006812,"Census Tract 68.12, Denver County, Colorado",754,106
1400000US08031006813,08031006813,"Census Tract 68.13, Denver County, Colorado",803,58
1400000US08031006814,08031006814,"Census Tract 68.14, Denver County, Colorado",791,53
1400000US08031006901,08031006901,"Census Tract 69.01, Denver County, Colorado",683,25
1400000US08031007006,08031007006,"Census Tract 70.06, Denver County, Colorado",742,28
1400000US08031007013,08031007013,"Census Tract 70.13, Denver County, Colorado",1090,40
1400000US08031007037,08031007037,"Census Tract 70.37, Denver County, Colorado",710,39
1400000US08031007088,08031007088,"Census Tract 70.88, Denver County, Colorado",1128,46
1400000US08031007089,08031007089,"Census Tract 70.89, Denver County, Colorado",706,41
1400000US08031008304,08031008304,"Census Tract 83.04, Denver County, Colorado",1405,179
1400000US08031008305,08031008305,"Census Tract 83.05, Denver County, Colorado",1082,77
1400000US08031008306,08031008306,"Census Tract 83.06, Denver County, Colorado",721,36
1400000US08031008312,08031008312,"Census Tract 83.12, Denver County, Colorado",695,145
