GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1 to 4 years,Margin of Error; Total: - 1 to 4 years,Estimate; Total: - 5 to 17 years,Margin of Error; Total: - 5 to 17 years,Estimate; Total: - 18 and 19 years,Margin of Error; Total: - 18 and 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 29 years,Margin of Error; Total: - 25 to 29 years,Estimate; Total: - 30 to 34 years,Margin of Error; Total: - 30 to 34 years,Estimate; Total: - 35 to 39 years,Margin of Error; Total: - 35 to 39 years,Estimate; Total: - 40 to 44 years,Margin of Error; Total: - 40 to 44 years,Estimate; Total: - 45 to 49 years,Margin of Error; Total: - 45 to 49 years,Estimate; Total: - 50 to 54 years,Margin of Error; Total: - 50 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 to 69 years,Margin of Error; Total: - 65 to 69 years,Estimate; Total: - 70 to 74 years,Margin of Error; Total: - 70 to 74 years,Estimate; Total: - 75 years and over,Margin of Error; Total: - 75 years and over,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - 1 to 4 years,Margin of Error; Total: - Same house 1 year ago: - 1 to 4 years,Estimate; Total: - Same house 1 year ago: - 5 to 17 years,Margin of Error; Total: - Same house 1 year ago: - 5 to 17 years,Estimate; Total: - Same house 1 year ago: - 18 and 19 years,Margin of Error; Total: - Same house 1 year ago: - 18 and 19 years,Estimate; Total: - Same house 1 year ago: - 20 to 24 years,Margin of Error; Total: - Same house 1 year ago: - 20 to 24 years,Estimate; Total: - Same house 1 year ago: - 25 to 29 years,Margin of Error; Total: - Same house 1 year ago: - 25 to 29 years,Estimate; Total: - Same house 1 year ago: - 30 to 34 years,Margin of Error; Total: - Same house 1 year ago: - 30 to 34 years,Estimate; Total: - Same house 1 year ago: - 35 to 39 years,Margin of Error; Total: - Same house 1 year ago: - 35 to 39 years,Estimate; Total: - Same house 1 year ago: - 40 to 44 years,Margin of Error; Total: - Same house 1 year ago: - 40 to 44 years,Estimate; Total: - Same house 1 year ago: - 45 to 49 years,Margin of Error; Total: - Same house 1 year ago: - 45 to 49 years,Estimate; Total: - Same house 1 year ago: - 50 to 54 years,Margin of Error; Total: - Same house 1 year ago: - 50 to 54 years,Estimate; Total: - Same house 1 year ago: - 55 to 59 years,Margin of Error; Total: - Same house 1 year ago: - 55 to 59 years,Estimate; Total: - Same house 1 year ago: - 60 to 64 years,Margin of Error; Total: - Same house 1 year ago: - 60 to 64 years,Estimate; Total: - Same house 1 year ago: - 65 to 69 years,Margin of Error; Total: - Same house 1 year ago: - 65 to 69 years,Estimate; Total: - Same house 1 year ago: - 70 to 74 years,Margin of Error; Total: - Same house 1 year ago: - 70 to 74 years,Estimate; Total: - Same house 1 year ago: - 75 years and over,Margin of Error; Total: - Same house 1 year ago: - 75 years and over,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - 1 to 4 years,Margin of Error; Total: - Moved within same county: - 1 to 4 years,Estimate; Total: - Moved within same county: - 5 to 17 years,Margin of Error; Total: - Moved within same county: - 5 to 17 years,Estimate; Total: - Moved within same county: - 18 and 19 years,Margin of Error; Total: - Moved within same county: - 18 and 19 years,Estimate; Total: - Moved within same county: - 20 to 24 years,Margin of Error; Total: - Moved within same county: - 20 to 24 years,Estimate; Total: - Moved within same county: - 25 to 29 years,Margin of Error; Total: - Moved within same county: - 25 to 29 years,Estimate; Total: - Moved within same county: - 30 to 34 years,Margin of Error; Total: - Moved within same county: - 30 to 34 years,Estimate; Total: - Moved within same county: - 35 to 39 years,Margin of Error; Total: - Moved within same county: - 35 to 39 years,Estimate; Total: - Moved within same county: - 40 to 44 years,Margin of Error; Total: - Moved within same county: - 40 to 44 years,Estimate; Total: - Moved within same county: - 45 to 49 years,Margin of Error; Total: - Moved within same county: - 45 to 49 years,Estimate; Total: - Moved within same county: - 50 to 54 years,Margin of Error; Total: - Moved within same county: - 50 to 54 years,Estimate; Total: - Moved within same county: - 55 to 59 years,Margin of Error; Total: - Moved within same county: - 55 to 59 years,Estimate; Total: - Moved within same county: - 60 to 64 years,Margin of Error; Total: - Moved within same county: - 60 to 64 years,Estimate; Total: - Moved within same county: - 65 to 69 years,Margin of Error; Total: - Moved within same county: - 65 to 69 years,Estimate; Total: - Moved within same county: - 70 to 74 years,Margin of Error; Total: - Moved within same county: - 70 to 74 years,Estimate; Total: - Moved within same county: - 75 years and over,Margin of Error; Total: - Moved within same county: - 75 years and over,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - 1 to 4 years,Margin of Error; Total: - Moved from different county within same state: - 1 to 4 years,Estimate; Total: - Moved from different county within same state: - 5 to 17 years,Margin of Error; Total: - Moved from different county within same state: - 5 to 17 years,Estimate; Total: - Moved from different county within same state: - 18 and 19 years,Margin of Error; Total: - Moved from different county within same state: - 18 and 19 years,Estimate; Total: - Moved from different county within same state: - 20 to 24 years,Margin of Error; Total: - Moved from different county within same state: - 20 to 24 years,Estimate; Total: - Moved from different county within same state: - 25 to 29 years,Margin of Error; Total: - Moved from different county within same state: - 25 to 29 years,Estimate; Total: - Moved from different county within same state: - 30 to 34 years,Margin of Error; Total: - Moved from different county within same state: - 30 to 34 years,Estimate; Total: - Moved from different county within same state: - 35 to 39 years,Margin of Error; Total: - Moved from different county within same state: - 35 to 39 years,Estimate; Total: - Moved from different county within same state: - 40 to 44 years,Margin of Error; Total: - Moved from different county within same state: - 40 to 44 years,Estimate; Total: - Moved from different county within same state: - 45 to 49 years,Margin of Error; Total: - Moved from different county within same state: - 45 to 49 years,Estimate; Total: - Moved from different county within same state: - 50 to 54 years,Margin of Error; Total: - Moved from different county within same state: - 50 to 54 years,Estimate; Total: - Moved from different county within same state: - 55 to 59 years,Margin of Error; Total: - Moved from different county within same state: - 55 to 59 years,Estimate; Total: - Moved from different county within same state: - 60 to 64 years,Margin of Error; Total: - Moved from different county within same state: - 60 to 64 years,Estimate; Total: - Moved from different county within same state: - 65 to 69 years,Margin of Error; Total: - Moved from different county within same state: - 65 to 69 years,Estimate; Total: - Moved from different county within same state: - 70 to 74 years,Margin of Error; Total: - Moved from different county within same state: - 70 to 74 years,Estimate; Total: - Moved from different county within same state: - 75 years and over,Margin of Error; Total: - Moved from different county within same state: - 75 years and over,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - 1 to 4 years,Margin of Error; Total: - Moved from different state: - 1 to 4 years,Estimate; Total: - Moved from different state: - 5 to 17 years,Margin of Error; Total: - Moved from different state: - 5 to 17 years,Estimate; Total: - Moved from different state: - 18 and 19 years,Margin of Error; Total: - Moved from different state: - 18 and 19 years,Estimate; Total: - Moved from different state: - 20 to 24 years,Margin of Error; Total: - Moved from different state: - 20 to 24 years,Estimate; Total: - Moved from different state: - 25 to 29 years,Margin of Error; Total: - Moved from different state: - 25 to 29 years,Estimate; Total: - Moved from different state: - 30 to 34 years,Margin of Error; Total: - Moved from different state: - 30 to 34 years,Estimate; Total: - Moved from different state: - 35 to 39 years,Margin of Error; Total: - Moved from different state: - 35 to 39 years,Estimate; Total: - Moved from different state: - 40 to 44 years,Margin of Error; Total: - Moved from different state: - 40 to 44 years,Estimate; Total: - Moved from different state: - 45 to 49 years,Margin of Error; Total: - Moved from different state: - 45 to 49 years,Estimate; Total: - Moved from different state: - 50 to 54 years,Margin of Error; Total: - Moved from different state: - 50 to 54 years,Estimate; Total: - Moved from different state: - 55 to 59 years,Margin of Error; Total: - Moved from different state: - 55 to 59 years,Estimate; Total: - Moved from different state: - 60 to 64 years,Margin of Error; Total: - Moved from different state: - 60 to 64 years,Estimate; Total: - Moved from different state: - 65 to 69 years,Margin of Error; Total: - Moved from different state: - 65 to 69 years,Estimate; Total: - Moved from different state: - 70 to 74 years,Margin of Error; Total: - Moved from different state: - 70 to 74 years,Estimate; Total: - Moved from different state: - 75 years and over,Margin of Error; Total: - Moved from different state: - 75 years and over,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - 1 to 4 years,Margin of Error; Total: - Moved from abroad: - 1 to 4 years,Estimate; Total: - Moved from abroad: - 5 to 17 years,Margin of Error; Total: - Moved from abroad: - 5 to 17 years,Estimate; Total: - Moved from abroad: - 18 and 19 years,Margin of Error; Total: - Moved from abroad: - 18 and 19 years,Estimate; Total: - Moved from abroad: - 20 to 24 years,Margin of Error; Total: - Moved from abroad: - 20 to 24 years,Estimate; Total: - Moved from abroad: - 25 to 29 years,Margin of Error; Total: - Moved from abroad: - 25 to 29 years,Estimate; Total: - Moved from abroad: - 30 to 34 years,Margin of Error; Total: - Moved from abroad: - 30 to 34 years,Estimate; Total: - Moved from abroad: - 35 to 39 years,Margin of Error; Total: - Moved from abroad: - 35 to 39 years,Estimate; Total: - Moved from abroad: - 40 to 44 years,Margin of Error; Total: - Moved from abroad: - 40 to 44 years,Estimate; Total: - Moved from abroad: - 45 to 49 years,Margin of Error; Total: - Moved from abroad: - 45 to 49 years,Estimate; Total: - Moved from abroad: - 50 to 54 years,Margin of Error; Total: - Moved from abroad: - 50 to 54 years,Estimate; Total: - Moved from abroad: - 55 to 59 years,Margin of Error; Total: - Moved from abroad: - 55 to 59 years,Estimate; Total: - Moved from abroad: - 60 to 64 years,Margin of Error; Total: - Moved from abroad: - 60 to 64 years,Estimate; Total: - Moved from abroad: - 65 to 69 years,Margin of Error; Total: - Moved from abroad: - 65 to 69 years,Estimate; Total: - Moved from abroad: - 70 to 74 years,Margin of Error; Total: - Moved from abroad: - 70 to 74 years,Estimate; Total: - Moved from abroad: - 75 years and over,Margin of Error; Total: - Moved from abroad: - 75 years and over
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",2918,283,68,43,239,101,89,60,212,94,230,82,259,99,393,108,248,98,220,87,175,67,269,89,83,49,166,82,97,45,170,60,2419,262,68,43,189,95,59,46,91,61,153,78,191,91,357,102,202,78,198,87,157,62,238,88,83,49,166,82,97,45,170,60,250,160,0,92,50,56,30,33,18,21,14,21,37,41,25,39,46,52,9,14,9,15,12,20,0,92,0,92,0,92,0,92,152,96,0,92,0,92,0,92,61,60,45,40,7,13,11,17,0,92,0,92,9,14,19,21,0,92,0,92,0,92,0,92,97,79,0,92,0,92,0,92,42,68,18,23,24,27,0,92,0,92,13,21,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",3833,569,379,158,526,261,14,24,219,111,499,143,432,145,290,110,141,78,188,95,178,71,248,127,154,67,200,90,79,58,286,96,3357,605,347,157,526,261,14,24,88,68,357,139,321,127,278,108,128,77,188,95,178,71,248,127,154,67,200,90,79,58,251,96,279,137,0,92,0,92,0,92,9,14,128,78,104,113,12,20,13,22,0,92,0,92,0,92,0,92,0,92,0,92,13,19,167,125,32,36,0,92,0,92,109,102,7,12,7,13,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,12,17,30,28,0,92,0,92,0,92,13,22,7,11,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,10,16,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",3831,345,197,128,661,227,96,68,291,126,272,133,437,112,323,102,180,77,274,143,261,100,202,87,197,97,49,36,132,62,259,71,3230,393,163,124,550,169,96,68,206,104,186,111,309,103,278,103,139,68,274,143,253,100,178,81,189,97,42,34,124,60,243,70,228,112,25,39,0,92,0,92,64,58,16,28,42,37,36,37,6,10,0,92,8,13,0,92,0,92,7,12,8,13,16,20,145,82,9,15,0,92,0,92,21,33,27,25,44,54,9,14,35,35,0,92,0,92,0,92,0,92,0,92,0,92,0,92,218,261,0,92,111,173,0,92,0,92,33,43,42,49,0,92,0,92,0,92,0,92,24,38,8,14,0,92,0,92,0,92,10,16,0,92,0,92,0,92,0,92,10,16,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",4973,331,371,135,407,144,69,67,322,111,494,263,540,187,394,170,476,172,319,138,363,120,270,101,243,92,183,102,109,69,413,125,3932,431,309,140,281,123,69,67,273,108,206,169,407,168,224,136,363,152,319,138,334,110,261,93,227,92,169,97,109,69,381,130,354,217,0,92,53,64,0,92,0,92,58,55,0,92,80,72,113,96,0,92,29,47,0,92,0,92,0,92,0,92,21,33,478,297,62,69,73,83,0,92,11,17,156,168,50,76,90,101,0,92,0,92,0,92,9,23,16,25,0,92,0,92,11,24,195,109,0,92,0,92,0,92,38,44,74,81,83,77,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,14,21,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,14,21,0,92,0,92
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",3728,283,227,88,361,102,21,29,67,55,250,142,453,128,401,113,408,118,258,96,245,114,340,110,237,105,156,65,84,52,220,101,3282,304,179,90,335,97,13,23,39,34,172,132,365,133,358,112,312,102,258,96,235,109,340,110,237,105,156,65,84,52,199,89,256,146,37,34,25,39,8,16,18,28,32,27,49,50,12,20,75,63,0,92,0,92,0,92,0,92,0,92,0,92,0,92,98,71,0,92,1,7,0,92,0,92,46,55,28,26,22,23,1,9,0,92,0,92,0,92,0,92,0,92,0,92,0,92,92,66,11,17,0,92,0,92,10,15,0,92,11,16,9,15,20,21,0,92,10,16,0,92,0,92,0,92,0,92,21,32,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",4412,285,124,57,433,123,10,18,202,221,638,195,681,192,458,147,378,144,298,107,299,106,300,139,162,99,48,52,100,78,281,98,3696,253,108,54,392,121,10,18,85,104,456,180,534,166,369,143,338,138,298,107,279,108,277,137,162,99,48,52,100,78,240,90,281,168,0,92,0,92,0,92,58,98,88,90,49,44,18,27,16,25,0,92,20,30,16,25,0,92,0,92,0,92,16,25,157,97,16,24,0,92,0,92,0,92,94,73,22,32,0,92,11,24,0,92,0,92,7,17,0,92,0,92,0,92,7,17,237,123,0,92,13,20,0,92,59,100,0,92,76,71,71,70,0,92,0,92,0,92,0,92,0,92,0,92,0,92,18,32,41,66,0,92,28,45,0,92,0,92,0,92,0,92,0,92,13,21,0,92,0,92,0,92,0,92,0,92,0,92,0,92
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",3600,404,213,123,523,161,23,27,96,59,378,175,481,155,330,85,309,121,243,105,317,95,262,93,123,56,101,58,58,30,143,55,2852,426,206,122,395,127,23,27,86,57,143,61,323,133,283,83,265,108,173,83,268,81,262,93,123,56,101,58,58,30,143,55,346,215,0,92,76,115,0,92,9,16,113,84,77,76,16,24,0,92,38,61,17,25,0,92,0,92,0,92,0,92,0,92,191,102,0,92,52,64,0,92,0,92,61,64,31,37,16,18,28,35,1,3,2,4,0,92,0,92,0,92,0,92,0,92,159,100,0,92,0,92,0,92,1,2,61,69,36,46,0,92,0,92,31,49,30,46,0,92,0,92,0,92,0,92,0,92,52,59,7,11,0,92,0,92,0,92,0,92,14,21,15,24,16,25,0,92,0,92,0,92,0,92,0,92,0,92,0,92
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",5148,570,363,266,292,142,104,106,277,140,747,222,840,316,454,160,422,138,313,124,325,131,343,116,163,82,127,63,140,72,238,96,4281,663,363,266,292,142,93,104,147,119,464,157,733,311,433,158,331,120,265,123,294,130,300,107,163,82,125,64,83,51,195,91,385,187,0,92,0,92,7,12,28,35,171,147,28,32,0,92,0,92,48,67,30,37,28,29,0,92,0,92,30,36,15,32,354,138,0,92,0,92,2,4,79,70,72,79,70,73,0,92,63,66,0,92,0,92,14,22,0,92,0,92,26,60,28,31,126,81,0,92,0,92,1,2,23,37,40,66,9,16,21,24,28,39,0,92,1,3,1,3,0,92,2,4,0,92,0,92,2,5,0,92,0,92,1,3,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,1,3,0,92
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",2002,160,71,47,174,52,52,49,122,94,317,121,177,77,183,87,229,109,113,66,140,60,86,52,115,56,77,47,78,83,68,45,1439,141,71,47,135,71,21,26,95,85,103,66,96,53,135,78,171,71,83,53,128,56,73,48,105,55,77,47,78,83,68,45,299,143,0,92,5,8,31,38,0,92,117,92,48,48,37,46,38,44,5,8,0,92,8,16,10,15,0,92,0,92,0,92,82,56,0,92,0,92,0,92,11,17,28,28,11,13,0,92,20,29,0,92,12,19,0,92,0,92,0,92,0,92,0,92,152,96,0,92,4,8,0,92,16,25,69,80,22,22,11,12,0,92,25,38,0,92,5,8,0,92,0,92,0,92,0,92,30,37,0,92,30,37,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
