GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",421,107,421,107,0,11,8,12,0,11,0,11,0,11,0,11,12,18,0,11,5,10,0,11,8,13,20,22,52,53,10,15,15,23,31,37,39,46,91,65,28,22,42,34,54,40,6,9,0,11,0,11,0,11
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",459,99,450,97,0,11,0,11,16,20,0,11,27,43,7,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,28,44,21,23,65,51,0,11,96,59,51,45,103,69,27,28,0,11,0,11,0,11,9,15
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",749,133,738,135,29,42,0,11,24,36,168,80,0,11,0,11,11,17,62,52,7,13,9,15,10,14,28,44,35,43,20,23,39,53,101,80,6,10,70,48,31,31,88,52,0,11,0,11,0,11,0,11,11,16
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",857,160,818,162,0,16,0,16,124,115,61,82,19,30,0,16,0,16,0,16,0,16,54,51,0,16,0,16,0,16,0,16,71,78,17,28,18,29,259,138,116,77,79,56,0,16,0,16,0,16,0,16,39,45
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",794,163,770,159,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,39,22,0,11,0,11,0,11,92,106,0,11,20,33,84,66,130,120,115,84,68,63,88,75,110,88,24,32,0,11,0,11,24,29
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",922,156,909,156,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,23,12,20,24,21,26,27,8,13,37,59,0,11,23,34,83,77,29,33,237,116,174,104,151,63,81,71,11,19,0,11,0,11,13,20
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",613,109,597,109,0,11,0,11,0,11,21,21,0,11,0,11,0,11,52,55,0,11,0,11,0,11,36,44,17,27,21,27,71,50,67,49,70,54,82,54,42,27,71,52,35,49,12,15,0,11,0,11,16,17
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",1540,226,1474,214,0,11,0,11,0,11,0,11,0,11,0,11,0,11,55,44,0,11,11,18,86,89,31,34,94,85,89,110,18,27,48,47,36,41,193,107,323,169,342,123,103,82,16,27,18,28,11,17,66,72
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",220,61,213,60,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,7,27,30,6,9,21,17,58,37,23,18,60,38,13,10,0,11,0,11,7,11
