GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",29.1,14.2
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",45.5,8.1
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",34.6,6.8
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",22.9,6.3
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",25.8,7.7
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",21.5,4.7
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",25.5,3.1
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",34.4,6.9
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",32.7,8.2
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",27.6,5.0
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",29.9,5.6
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",34.8,5.3
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",36.9,4.8
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",31.1,4.0
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",30.8,8.5
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",44.0,12.7
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",33.7,3.1
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",36.5,6.2
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",37.2,3.4
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",28.1,7.2
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",27.5,5.8
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",29.9,7.5
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",33.6,6.8
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",30.7,5.5
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",36.6,13.1
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",26.5,2.6
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",33.6,6.7
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",26.1,2.2
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",26.6,2.2
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",29.8,11.6
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",27.1,3.2
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",32.2,2.3
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",21.7,4.1
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",23.3,6.8
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",26.2,3.0
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",26.0,5.8
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",28.5,6.5
