GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
1400000US08031000102,08031000102,"Census Tract 1.02, Denver County, Colorado",56375,7839
1400000US08031000201,08031000201,"Census Tract 2.01, Denver County, Colorado",43375,9228
1400000US08031000202,08031000202,"Census Tract 2.02, Denver County, Colorado",51163,8140
1400000US08031000301,08031000301,"Census Tract 3.01, Denver County, Colorado",50719,10623
1400000US08031000302,08031000302,"Census Tract 3.02, Denver County, Colorado",73566,10502
1400000US08031000303,08031000303,"Census Tract 3.03, Denver County, Colorado",78550,19615
1400000US08031000401,08031000401,"Census Tract 4.01, Denver County, Colorado",48019,14655
1400000US08031000402,08031000402,"Census Tract 4.02, Denver County, Colorado",47132,11568
1400000US08031000501,08031000501,"Census Tract 5.01, Denver County, Colorado",74769,17242
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",43391,7781
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",35865,12122
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",32647,7030
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",30714,4847
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",9571,2228
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",44800,4957
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",32462,7670
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",30868,10189
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",35559,5928
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",19712,6630
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",33789,3166
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",54044,7120
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",38750,15149
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",41818,9135
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",32099,2737
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",37843,6671
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",41703,6272
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",24190,5082
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",55306,10814
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",76042,9603
