LDMK_NUM,LDMK_NAME,AKA_NAME,ORD_NUM,ORD_YEAR,ADDRESS_LINE1,ADDRESS_LINE2,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,HISTORIC_DIST,STATE_HIST_NUM,YEAR_BUILT,ARCH_BLDR,DOCUMENT,PHOTO_LINK,NOTES,GIS_NOTES,DESCRIPTION,ADDRESS_ID
93.0,1437 High Street,Watson House,293,1976,1437 High Street,None,1437,None,High,ST,Wyman,5DV.5811,1894,None,None,yes,None,None,None,None
94.0,Kerr House,None,360,1976,1900 E. 7th Avenue Parkway,None,1900,E,7th Avenue,PKY,East 7th Avenue,5DV.751,1925,None,None,yes, ,None,None,None
95.0,Grant-Humphreys Mansion,None,476,1976,770 Pennsylvania Street,None,770,None,Pennsylvania,ST,East 7th Avenue,5DV.194,1902,None,None,yes, ,None,None,None
99.0,Adolph Zang Mansion,None,253,1977,709 Clarkson Street,None,709,None,Clarkson,ST,East 7th Avenue,5DV.177,1902-04,None,None,yes, ,None,None,None
103.0,Equitable Building,None,453,1977,730 17th Street,None,730,None,17th,ST,Downtown Denver,5DV.121,c. 1892-93,None,None,yes, ,None,None,None
263.0,Hover/Bromley Building,None,271,1996,1348 Lawrence Street,1390 Lawrence Street,1348,None,Lawrence,ST,Downtown Denver,5DV.1719,1901,None,None,yes, ,None,None,None
277.0,Benjamin Brown House,None,223,1997,410 Marion Street,None,410,None,Marion,ST,Driving Park,None,c.1889 (See Notes),None,None,yes,"Yr. Built - additions c.1900,1930,1960 ",None,None,None
280.0,Kinneavy Terrace,None,430,1997,"2700-2714 Stout Street, 721-727 27th Street",None,2700,None,Stout,ST,Curtis Park 'E',None,c. 1888,None,None,yes, ,None,None,None
127.0,Fleming House,None,371,1981,1133 Pennsylvania Street,None,1133,None,Pennsylvania,ST,Pennsylvania Street,5DV.661,1893,None,None,yes, ,None,None,None
40.0,Hugh Mackay House,None,653,1973,3359 Alcott Street,None,3359,None,Alcott,ST,Potter Highlands,5DV.85.46,1893,None,None,yes, ,None,None,None
