GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_VC01,Number - Both sexes; Population 16 years and over
HC03_VC01,Number - Male; Population 16 years and over
HC04_VC01,Number - Female; Population 16 years and over
HC06_VC01,Percent - Both sexes; Population 16 years and over
HC07_VC01,Percent - Male; Population 16 years and over
HC08_VC01,Percent - Female; Population 16 years and over
HC02_VC02,Number - Both sexes; Population 16 years and over - In labor force
HC03_VC02,Number - Male; Population 16 years and over - In labor force
HC04_VC02,Number - Female; Population 16 years and over - In labor force
HC06_VC02,Percent - Both sexes; Population 16 years and over - In labor force
HC07_VC02,Percent - Male; Population 16 years and over - In labor force
HC08_VC02,Percent - Female; Population 16 years and over - In labor force
HC02_VC03,Number - Both sexes; Population 16 years and over - In labor force - Armed forces
HC03_VC03,Number - Male; Population 16 years and over - In labor force - Armed forces
HC04_VC03,Number - Female; Population 16 years and over - In labor force - Armed forces
HC06_VC03,Percent - Both sexes; Population 16 years and over - In labor force - Armed forces
HC07_VC03,Percent - Male; Population 16 years and over - In labor force - Armed forces
HC08_VC03,Percent - Female; Population 16 years and over - In labor force - Armed forces
HC02_VC04,Number - Both sexes; Population 16 years and over - In labor force - Civilian labor force
HC03_VC04,Number - Male; Population 16 years and over - In labor force - Civilian labor force
HC04_VC04,Number - Female; Population 16 years and over - In labor force - Civilian labor force
HC06_VC04,Percent - Both sexes; Population 16 years and over - In labor force - Civilian labor force
HC07_VC04,Percent - Male; Population 16 years and over - In labor force - Civilian labor force
HC08_VC04,Percent - Female; Population 16 years and over - In labor force - Civilian labor force
HC02_VC05,Number - Both sexes; Population 16 years and over - In labor force - Civilian labor force - Employed
HC03_VC05,Number - Male; Population 16 years and over - In labor force - Civilian labor force - Employed
HC04_VC05,Number - Female; Population 16 years and over - In labor force - Civilian labor force - Employed
HC06_VC05,Percent - Both sexes; Population 16 years and over - In labor force - Civilian labor force - Employed
HC07_VC05,Percent - Male; Population 16 years and over - In labor force - Civilian labor force - Employed
HC08_VC05,Percent - Female; Population 16 years and over - In labor force - Civilian labor force - Employed
HC02_VC06,Number - Both sexes; Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC03_VC06,Number - Male; Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC04_VC06,Number - Female; Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC06_VC06,Percent - Both sexes; Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC07_VC06,Percent - Male; Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC08_VC06,Percent - Female; Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC02_VC07,Number - Both sexes; Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force
HC03_VC07,Number - Male; Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force
HC04_VC07,Number - Female; Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force
HC06_VC07,Percent - Both sexes; Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force
HC07_VC07,Percent - Male; Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force
HC08_VC07,Percent - Female; Population 16 years and over - In labor force - Civilian labor force - Unemployed - Percent of civilian labor force
HC02_VC08,Number - Both sexes; Population 16 years and over - Not in labor force
HC03_VC08,Number - Male; Population 16 years and over - Not in labor force
HC04_VC08,Number - Female; Population 16 years and over - Not in labor force
HC06_VC08,Percent - Both sexes; Population 16 years and over - Not in labor force
HC07_VC08,Percent - Male; Population 16 years and over - Not in labor force
HC08_VC08,Percent - Female; Population 16 years and over - Not in labor force
HC02_VC09,Number - Both sexes; Population 16 years and over - Population 16 to 19 years
HC03_VC09,Number - Male; Population 16 years and over - Population 16 to 19 years
HC04_VC09,Number - Female; Population 16 years and over - Population 16 to 19 years
HC06_VC09,Percent - Both sexes; Population 16 years and over - Population 16 to 19 years
HC07_VC09,Percent - Male; Population 16 years and over - Population 16 to 19 years
HC08_VC09,Percent - Female; Population 16 years and over - Population 16 to 19 years
HC02_VC10,Number - Both sexes; Population 16 years and over - Population 16 to 19 years - Employed civilian
HC03_VC10,Number - Male; Population 16 years and over - Population 16 to 19 years - Employed civilian
HC04_VC10,Number - Female; Population 16 years and over - Population 16 to 19 years - Employed civilian
HC06_VC10,Percent - Both sexes; Population 16 years and over - Population 16 to 19 years - Employed civilian
HC07_VC10,Percent - Male; Population 16 years and over - Population 16 to 19 years - Employed civilian
HC08_VC10,Percent - Female; Population 16 years and over - Population 16 to 19 years - Employed civilian
HC02_VC11,Number - Both sexes; Population 16 years and over - Population 16 to 19 years - Unemployed
HC03_VC11,Number - Male; Population 16 years and over - Population 16 to 19 years - Unemployed
HC04_VC11,Number - Female; Population 16 years and over - Population 16 to 19 years - Unemployed
HC06_VC11,Percent - Both sexes; Population 16 years and over - Population 16 to 19 years - Unemployed
HC07_VC11,Percent - Male; Population 16 years and over - Population 16 to 19 years - Unemployed
HC08_VC11,Percent - Female; Population 16 years and over - Population 16 to 19 years - Unemployed
HC02_VC12,Number - Both sexes; Population 16 years and over - Population 16 to 19 years - Not in labor force
HC03_VC12,Number - Male; Population 16 years and over - Population 16 to 19 years - Not in labor force
HC04_VC12,Number - Female; Population 16 years and over - Population 16 to 19 years - Not in labor force
HC06_VC12,Percent - Both sexes; Population 16 years and over - Population 16 to 19 years - Not in labor force
