,Census Tract ID,Lon,Lat,Distance from CBD,Number of historical sites,Change in children,Change in households,Moved recently,Working women change
1,8031001702,-104.9873848339999,39.74070200400007,0.47008803760297213,1,-419.51300000000003,66.0,68.0,-538.7440000000004
2,8031001800,-104.98743430899992,39.72584300300008,1.36155834629244,4,253.64700000000005,-104.0,379.0,-270.85000000000014
3,8031001901,-105.0042347719999,39.74015545200007,0.6148031417911286,1,-271.0369999999998,-95.0,197.0,-261.03999999999996
4,8031001902,-104.99859225799992,39.74023744300007,0.3873981318439306,1,-618.2400000000001,116.0,371.0,1313.94
5,8031002000,-104.98776856699993,39.740130015000034,0.4797378438193343,1,-448.17599999999993,-318.0,227.0,1082.568
6,8031001302,-105.0001309889999,39.71118409800005,2.3411888797944473,1,-119.7879999999999,-9.0,124.0,1211.283
7,8031001401,-105.01190598199992,39.696742673000074,3.4460688435872266,2,-85.31600000000003,-458.0,213.0,907.108
8,8031001402,-105.00900898499992,39.689479507000044,3.8970950900263093,1,-72.30199999999991,83.0,363.0,1592.0
9,8031001403,-104.9918742939999,39.696662149000076,3.3258572123128944,3,-1487.703,-413.0,71.0,-406.6500000000001
10,8031001500,-104.97102043199993,39.79831225200007,3.8941903796809614,1,528.2560000000001,345.0,279.0,543.413
11,8031001600,-104.9733410579999,39.762120992000064,1.6375226043142166,1,-1057.81,-602.0,112.0,-637.1320000000001
12,8031000502,-105.03366893999993,39.75850420100005,2.2937965409187657,1,1.2970000000002528,120.0,217.0,711.712
13,8031000600,-105.02237898899995,39.758464909000054,1.7617520339434565,1,-28.69399999999996,3.0,464.0,1688.961
14,8031000701,-105.03930863699992,39.74395451000004,2.392160865470798,1,-1582.074,-301.0,224.0,-1455.825
15,8031000702,-105.02521350299992,39.74636441500007,1.644094189510743,1,851.2479999999998,231.0,232.0,148.31600000000003
16,8031000800,-105.0207681199999,39.746764504000055,1.4102572435082295,1,114.01999999999975,-120.0,331.0,76.27199999999971
17,8031000902,-105.04741163799991,39.72573971800006,3.115409857990843,2,-203.56200000000013,-96.0,391.0,1007.5550000000001
18,8031000903,-105.03542297299992,39.725683692000075,2.5530200126200784,1,-1026.876,-97.0,301.0,639.576
19,8031000301,-105.0336469429999,39.77673162000008,3.034718094410122,1,30.281000000000176,-71.0,472.0,531.1999999999999
20,8031000302,-105.03933775299993,39.76943321600004,2.933470420579955,1,-648.102,-67.0,208.0,468.064
21,8031000303,-105.02523417599991,39.75883199800006,1.9047676600180015,2,-674.034,-69.0,204.0,770.288
22,8031000102,-105.04319713099994,39.78346138300009,3.7217845574553143,2,471.46399999999994,-28.0,397.0,996.036
23,8031000201,-105.02105206099992,39.79435649000004,3.6996473092321867,1,-322.77300000000014,-125.0,410.0,-267.6200000000001
24,8031000202,-105.0250134449999,39.78422314900007,3.1688809523394847,3,784.6640000000002,-3.0,537.0,388.6479999999999
25,8031000401,-105.0222009599999,39.776618416000076,2.6457304645510056,1,-608.4959999999999,-241.0,221.0,-272.81999999999994
26,8031000402,-105.01120201799995,39.769286814000054,1.9096509469146818,1,-969.8399999999999,-142.0,121.0,385.75
27,8031000501,-105.0393037639999,39.75850053000005,2.5701858599967116,2,521.1120000000001,-53.0,257.0,519.0409999999999
28,8031000904,-105.04891997199991,39.73525564700009,2.977655792551988,1,-278.53599999999994,511.0,322.0,2231.552
29,8031000905,-105.0251756799999,39.73658180700005,1.734770545429263,1,-647.548,409.0,87.0,159.9760000000001
30,8031001000,-105.0191839389999,39.72532897600007,1.8846321875633183,4,11.480000000000004,-166.0,7.0,14.216000000000008
31,8031001101,-105.00080196399995,39.77656150700005,2.215507170492194,3,673.0500000000001,-125.0,243.0,447.23
32,8031001102,-104.99938498499995,39.76930774200008,1.7094164138898311,1,145.74699999999996,-334.0,295.0,364.15999999999997
33,8031001301,-105.0110095959999,39.711190412000064,2.483626256867107,1,-1084.052,-239.0,0.0,-483.60800000000006
34,8031002100,-105.0001498769999,39.72576004900009,1.3507403993003086,1,5.0120000000000005,94.0,18.0,-454.28
35,8031002300,-104.95975257599991,39.761991908000084,2.1925803814055516,1,-422.4559999999999,-323.0,365.0,1232.77
36,8031002402,-104.97776705399991,39.75464264000004,1.1151540247190919,1,-502.67999999999984,-137.0,275.0,1211.32
37,8031002403,-104.97336077499995,39.754931025000076,1.3197872041005443,1,-191.542,37.0,63.0,222.159
38,8031002601,-104.9849959519999,39.74754670900006,0.5351044588061008,2,-735.7579999999999,-183.0,132.0,202.72000000000003
39,8031002602,-104.98007596699995,39.747537211000065,0.7857514950417168,1,-95.363,-241.0,8.0,459.12
40,8031002701,-104.98625820699993,39.74011404300006,0.5424184427604394,1,-73.93199999999999,-49.0,28.0,488.95899999999995
41,8031002702,-104.97297967999992,39.73204992500007,1.4421998025995628,1,-238.353,-535.0,0.0,185.80099999999993
